Company ID,Company,Company Legal Name,Competitors,Description,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Company Financing Status,Total Raised,Business Status,Ownership Status,Universe,Employees,Exchange,Ticker,Year Founded,Last Updated Date,Parent Company,HQ Country,HQ Location,Last Known Valuation,Last Known Valuation Date,Last Known Valuation Deal Type,Last Financing Date,Last Financing Size,Last Financing Size Status,Last Financing Valuation,Last Financing Valuation Status,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Deal Class,Last Financing Debt Date,Last Financing Status,Last Financing Debt Size,Last Financing Debt,First Financing Date,First Financing Size,First Financing Size Status,First Financing Deal Type,First Financing Valuation,First Financing Valuation Status,First Financing Deal Type 2,First Financing Deal Class,First Financing Status,First Financing Debt,Revenue,Revenue Growth %,Net Income,Net Debt,Market Cap,Gross Profit,Enterprise Value,EBITDA,EBIT,Total Patent Document,Total Patent Families,Active Patent Document,Pending Patent Document,Patent Expiering the Next Year,Inactive Family Documents,Top CPC Codes,Total Clinical Trials,Acquirers,#Active Investors,Active Investors,Financing Status Notes,Former Investors,Other Investors
40438-63,Elbit Systems (TAE: ESLT),Elbit Systems Ltd.,"Northrop Grumman, L3 Harris Technologies, Saab, Thales Group, BAE Systems, Airbus Group, Kratos Defense & Security Solutions, RTX, Safran Group, Triumph Group, Lockheed Martin, Cobham, Astronautics Corporation of America, Gulfstream Aerospace, Mercury Systems, Collins Aerospace, General Dynamics, Rafael Advanced Defense Systems, Rolls-Royce Holdings, General Dynamics United Kingdom, OHB, Airbus (France), Embraer, Meggitt, Panavia Aircraft Gesellschaft Mit Beschr√§nkter Haftung, Esterline Technologies, Ontic Engineering & Manufacturing, Tactical Air Support, Fokker Technologies, Raytheon, Leonardo (Italy), MDA, GE Aerospace, Duotech Services, Exelis, Blue Origin, Boeing, SpaceX, United Aircraft Corporation, Teledyne FLIR, Defence Equipment & Support (DE&S), Teledyne Technologies, Woodward, DynCorp International, Textron, MBDA Holdings, Diehl Stiftung, Pratt & Whitney, FreeFlight Systems, KBR","Elbit Systems Ltd is a technology company involved in producing a portfolio of systems and products for aircraft, land, and naval applications. The company's products are used for defense, homeland security, and commercial flight capabilities. Its systems and solutions may be installed on new platforms, or it may perform a comprehensive modernization program to transform a platform. Elbit Systems gives instructions to its customers on the proper maintenance of its products and will provide support team specialists when the customer cannot fix a problem. The company markets its systems and products as a prime contractor or as a subcontractor to government, defense, and homeland security contractors world wide.",Business Products and Services (B2B),Commercial Products,Aerospace and Defense,Aerospace and Defense*,"Industrials, Manufacturing","communication system, homeland security, homeland security service, homeland security solutions, homeland security technology, military communications, technology company",Corporation,210.12,Profitable,Publicly Held,"M&A, Publicly Listed",19712,TAE,ESLT,1966,2025-04-26,,Israel,"Haifa, Israel",,,,2019-04-10,185.0,Actual,,,PIPE,,Corporate,2019-04-10,Completed,,,1996-11-28,,,IPO,,,,Corporate,Completed,,6827.87,0.1427999999999999,321.14,1103.63,16846.48,1641.82,13099.64,629.95,471.56,905,213,655,81,169,169,"Diagnosis, Electric digital data processing, Image data processing or generation, in general, Optical elements, systems or apparatus, Radio direction-finding",2,,,,"The company (TAE:ESLT) received $185 million of development capital from Israeli institutional investors on April 11, 2019 through a private placement.",,
60453-10,Eloxx Pharmaceuticals (PINX: ELOX),"Eloxx Pharmaceuticals, Inc.","Homology Medicines, CRISPR Therapeutics, Editas Medicine, Galectin Therapeutics, Dimension Therapeutics, Celtaxsys, Regenacy Pharmaceuticals, True North Therapeutics, Imara, EdiGene, MnPharm, Pliant Therapeutics, Arcus Biosciences, Renova Therapeutics, Morphic Therapeutic, Beam Therapeutics, Harmony Biosciences, Metabomed, Alector, Corvus Pharmaceuticals, Dicerna Pharmaceuticals, Aruvant, Intellia Therapeutics, Fulcrum Therapeutics, Biohaven, viDA Therapeutics, BiOrion, Kadmon Holdings, Voyager Therapeutics, GlycoMimetics, Lysogene, Immunocore Holdings, Sygnature Discovery, Egenesis, Alnylam Pharmaceuticals, Galecto, OrphAI Therapeutics, Akarna Therapeutics, Angion Biomedica, Synpromics, Denali Therapeutics, Lysosomal Therapeutics, Caribou Biosciences, Artizan Biosciences, Icosavax, MicroCures, Verge Genomics, Clovis Oncology, Gene Signal, Regenerx, Akebia Therapeutics, Aria Pharmaceuticals, Recursion Pharmaceuticals, Spark Therapeutics, X-37, Agilis Biotherapeutics, Xenetic Bioscience, Ultragenyx Pharmaceutical, Aura Biosciences, Priothera, Recombinetics, Sangamo Therapeutics, Tricida, Talaris Therapeutics, Protalix Biotherapeutics, Galapagos (Biotechnology), Mitochon Pharmaceuticals, Yumanity Therapeutics, Bluebird Bio, Horizon Discovery, ToolGen, CeGaT, Cellectis, Idorsia Pharmaceuticals, Passage Bio, Allogene Therapeutics, Calimmune, Batavia Biosciences, 4D Molecular Therapeutics, Phyton Biotech, uniQure, Owkin, Vanda Pharmaceuticals, BenevolentAI, Brammer Bio, Alvotech, Regenxbio, Supernus Pharmaceuticals, TRACON Pharmaceuticals, OMass Therapeutics, Lanthio Pharma, Perthera, Tesaro","Eloxx Pharmaceuticals Inc is a clinical-stage biopharmaceutical company engaged in the science of ribosome modulation, leveraging both its ZM chemistry technology platform and its library of novel aminoglycosides to develop novel oral small molecule Ribosome Modulating Agents (RMAs) and Eukaryotic Ribosome Selective Glycosides (ERSGs), for the treatment of rare and ultra-rare genetic diseases where patients have point nonsense genetic mutations that result in premature stop codons and less than full-length proteins. The ELX-02, the company's investigational drug product candidate, is a small molecule designed to restore the production of full-length functional proteins.",Healthcare,Pharmaceuticals and Biotechnology,Biotechnology,"Biotechnology*, Drug Discovery",Life Sciences,"biopharmaceutical therapy, biotechnology company, chemistry, cystic fibrosis, genetic disease, genetic therapy, pharmaceutical, small molecule",Formerly VC-backed,90.61,Generating Revenue,Publicly Held,"Debt Financed, Private Equity, Publicly Listed, Venture Capital",18,PINX,ELOX,2013,2025-04-26,,United States,"Watertown, MA",,,,2023-09-20,1.61,Actual,,,Public Investment 2nd Offering,,Public Investment,2023-09-20,Completed,,,2013-11-21,8.5,Actual,Early Stage VC,,,Series A,Venture Capital,Completed,,0.0,0.0,-20.48,0.98,0.01,,16.49,-18.6,-19.34,212,46,60,15,137,137,"Microorganisms or enzymes, Peptides, Preparations for medical, dental or toiletry purposes, Specific therapeutic activity of chemical compounds or medicinal preparations, Sugars",8,,,,"The company raised $1.60 million in its second public offering on the Nasdaq Stock Exchange under the ticker symbol of ELOX on September 20, 2023. A total of 305,590 shares were sold at $5.255 per share. Previously Sevion Therapeutics sold its stake in the company (NAS:ELOX) on an undisclosed date. The company will not receive any proceeds from the offering.","Catalyst Investments, China Everbright, DSC Investment, EQT Life Sciences, GF Securities, Korea Investment Partners, Medison Ventures, OPKO Health, Phillip Frost, Pontifax Venture Capital, Quark Venture, Roche Venture Fund, SBI JI Innovation Fund, Sevion Therapeutics",
268363-99,Else Nutrition Holdings (TSE: BABY),Else Nutrition Holdings Inc.,,"Else Nutrition Holdings Inc is an Israel-based food and nutrition company focused on developing clean, and plant-based food and nutrition products for infants, toddlers, children, and adults. The company has developed a revolutionary, plant-based, non-soy alternative to dairy-based formula. The product line of the company includes Baby Snacks, Baby Feeding Accessories, Infant Formula, Toddler Nutrition Products, Children's Nutrition Products, Adult Nutrition Products, and other Complementary Food Products.",Consumer Products and Services (B2C),Consumer Non-Durables,Food Products,Food Products*,FoodTech,"alt-proteins, baby nutrition, infant nutrition, infant nutrition business, nutrition product, nutrition product retailer, plant-based nutrition product, plant-based protein",Corporation,56.54,Generating Revenue/Not Profitable,Publicly Held,"M&A, Publicly Listed, Venture Capital",32,TSE,BABY,2012,2025-04-26,,Israel,"Tel Aviv, Israel",,,,2025-02-06,0.35,Actual,,,PIPE,,Corporate,2025-02-06,Completed,,,2019-06-26,7.5,Actual,Reverse Merger,,,,Corporate,Completed,,6.55,-0.0513,-11.61,0.94,2.18,0.14,5.23,-11.43,-11.61,26,3,14,8,4,4,"Foods, foodstuffs or non-alcoholic beverages, not otherwise provided for",2,,3,"A-Labs, Canaccord Genuity, NewH2 Ventures","The company (TSE: BABY) received $350,752.74 of development capital from undisclosed investors on February 6, 2025, through a private placement. The company expects to use the proceeds from the offering to pay amounts owing to certain creditors of the company.",,
182082-43,Elsight (ASX: ELS),Elsight Ltd.,,"Elsight Ltd is engaged in the development and commercialization of Halo in the UAV market. Elsight's Halo provides BVLOS (Beyond the Visual Line of Sight) connectivity for drones, UAVs, and other unmanned/uncrewed systems on-air and on land. The company generates revenue from sale of physical goods, Data Usage, Service level agreements and other services, and Halo as a service.",Information Technology,Communications and Networking,Connectivity Products,"Business/Productivity Software, Connectivity Products*, Other Commercial Products, Security Services (B2B)","Industrials, Manufacturing","data recording, data transmission, mobile connectivity services, security solutions, surveillance, video capture",Formerly VC-backed,21.96,Generating Revenue/Not Profitable,Publicly Held,"Publicly Listed, Venture Capital",,ASX,ELS,2009,2025-03-02,,Israel,"Or Yehuda, Israel",47.07,2018-03-05,PIPE,2020-12-29,8.3,Actual,,,PIPE,,Corporate,2020-12-29,Completed,,,,,,Seed Round,,,Seed Round,Venture Capital,Completed,,,,,,49.97,,40.25,,,19,10,15,,4,4,"Equipment for fitting in or to aircraft, Propulsion of electrically-propelled vehicles, Systems for controlling or regulating non-electric variables, Transmission, Wireless communication networks",,,1,The Fineline Group,"The company (ASX: ELS) received $8.3 million of development capital from undisclosed investors on December 29, 2020, through a private placement. The net proceeds will be used to fund its growth through accelerating sales and marketing activities as well as offering further investment for ongoing product development.","Awz Ventures, Jade Ventures",
58791-52,Elspec Engineering (TAE: ELSPC),Elspec Ltd.,"Schneider Electric (Electrical Equipment), Fluke ( Electronic Equipment and Instruments), Eaton","Elspec Engineering Ltd is a provider of power quality solutions & services. It provides electrical power quality analyzers, real-time power factor correction systems, and energy saving solutions to the industrial, commercial, and utility industries. It has three research and development departments such as software and signal processing engineers, hardware analog, digital and power electricians.",Business Products and Services (B2B),Commercial Products,Electrical Equipment,"Electrical Equipment*, Industrial Supplies and Parts","Industrials, Manufacturing","electrical equipment, electrical equipment provider, electrical equipment supply, energy saving, industrial supplies, power quality, power quality analysis, power quality analyzers, power quality meter, power quality solution, power quality system, scada software",Corporation,,Profitable,Publicly Held,"Private Equity, Publicly Listed, Venture Capital",147,TAE,ELSPC,1988,2024-01-19,,Israel,"Caesarea, Israel",,,,2013-12-01,4.27,Actual,,,Secondary Transaction - Private,,Corporate,2013-12-01,Completed,,,2004-05-01,,,IPO,,,,Public Investment,Completed,,27.03,0.1278,3.41,-2.42,33.42,14.01,36.6,4.56,3.38,15,4,8,1,6,6,Measuring electric variables,,,,,SKY Fund sold a stake in the company (TAE: ELSPC) to an undisclosed buyer for ILS 15.1 million in December 2013.,"SKY Fund, XT Venture Capital, Yozma",
51258-79,Eltek,Eltek Ltd.,"Somacis, QCG, Yokogawa Electric, ABB (Distributors/Wholesale), Computime Group","Eltek Ltd is engaged in the technology business sector that manufactures and supplies technologically new custom-made circuitry solutions. It manufactures, markets, and sells custom-made printed circuit boards (PCBs), including high-density interconnect, flex-rigid and multi-layered boards. The Company markets its products mainly to the medical technology, defense and aerospace, industrial, telecom, and networking equipment industries. Its geographic areas are Israel, North America, the Netherlands, India, and Others. It generates the majority of its revenue from Israel.",Information Technology,Computer Hardware,Electronic Equipment and Instruments,Electronic Equipment and Instruments*,"Manufacturing, TMT","circuit board, circuit board design, circuit board layout, circuit board maker, circuitry, equipment items",Corporate Backed or Acquired,10.0,Profitable,Acquired/Merged (Operating Subsidiary),"M&A, Publicly Listed",329,,,1970,2025-04-26,Nistec,Israel,"Petah Tikva, Israel",,,,2024-02-12,10.0,Actual,,,Public Investment 2nd Offering,,Public Investment,2024-02-12,Completed,,,1997-01-22,7.5,Actual,IPO,,,,Public Investment,Completed,,46.53,-0.0036,4.22,-11.22,55.26,10.34,62.2,5.91,4.37,,,,,,,,,,,,"The company raised $10 million in its second public offering on the Nasdaq stock exchange under the ticker symbol of ELTK on February 12, 2024. A total of 625,000 shares were sold at $16 per share.",Nistec,
65712-70,EndyMed Medical,EndyMed Medical Ltd,"Solta Medical, Ulthera","Endymed Ltd is a medical technology company that designs, develops, and commercializes energy based aesthetic treatment systems for the professional markets. It offers energy based medical aesthetic treatment systems for professional and consumer markets. It provides solution for nonablative and fractional tightening and contouring treatments for the face, neck and body, acne scar and stretchmark treatment, cellulite reduction and RF Microneedling treatments.",Healthcare,Healthcare Devices and Supplies,Surgical Devices,"Other Consumer Durables, Other Devices and Supplies, Surgical Devices*",,"aesthetic treatment technology, medical equipment, radiofrequency technology",Corporation,7.0,Profitable,Publicly Held,"Private Equity, Publicly Listed",46,,,2007,2025-03-05,,United States,"New York, NY",,,,,,,,,PIPE,,Private Equity,,Completed,,,2012-01-01,,,Reverse Merger,,,,Corporate,Completed,,18.94,-0.17,-1.82,-5.83,,8.76,,-1.62,-2.08,23,8,17,,6,6,"Diagnosis, Electrotherapy",1,,3,"Applisonix, OHMK Medical Technology, Poalim Equity",The company (TAE:ENDY) received an undisclosed sum of development capital from Poalim Capital Markets through a private placement.,,
63248-77,Enlivex Therapeutics (NAS: ENLV),Enlivex Therapeutics Ltd.,"Sorrento Therapeutics, Pyxis Oncology, Inovio Pharmaceuticals, Dynavax Technologies, JW Therapeutics, Ayala Pharmaceuticals, Apexigen, Jounce Therapeutics, NexImmune, Kite Pharma, Immunocore Holdings, GeoVax Labs, Gamida Cell, Arvinas, Agenus, BioNTech, Immune Design, Aurora Biopharma, Adaptimmune Therapeutics, Amgen, Immunovative Therapies, Altor BioScience, Verge Genomics, IFM Therapeutics, Rakuten Medical, Corvus Pharmaceuticals, Vical, Aura Biosciences, Recursion Pharmaceuticals, Sygnature Discovery, OrphAI Therapeutics, Cedilla Therapeutics, Mustang Bio, Bluebird Bio, CytImmune Sciences, MediGene, Merrimack Pharmaceuticals, Zynerba Pharmaceuticals, Celgene, Gotham Therapeutics, Scorpius Holdings, NOVADIP, BenevolentAI, Immatics, Juno Therapeutics, Chemocentryx, OncBioMune","Enlivex Therapeutics Ltd is an Israel-based development-stage biopharmaceutical company. It is focused on developing and commercializing an allogeneic drug pipeline for rebalancing immune hyper-responses. The company's Allocetra is an immunotherapy that is being developed to rebalance a life-threatening unbalanced immune system, using the immune system's own natural regulation mechanisms.",Healthcare,Pharmaceuticals and Biotechnology,Drug Discovery,"Biotechnology, Drug Discovery*","Life Sciences, Oncology","allogeneic drugs, autologous drugs, cancer oncology, cancer research, cytokines release syndrome, immune care, immunotherapy",Formerly PE-Backed,48.4,Generating Revenue,Publicly Held,"Private Equity, Publicly Listed, Venture Capital",49,NAS,ENLV,2005,2025-04-26,,Israel,"Jerusalem, Israel",110.0,2018-04-23,Later Stage VC,2024-05-29,15.0,Actual,,,PIPE,,Corporate,2024-05-29,Completed,,,,,,Buyout/LBO,,,,Private Equity,Completed,,0.0,0.0,-15.01,-22.96,23.28,,1.99,-15.54,-16.08,47,14,29,7,11,11,"Microorganisms or enzymes, Peptides, Preparations for medical, dental or toiletry purposes, Specific therapeutic activity of chemical compounds or medicinal preparations",7,,1,Hadasit Bio-Holdings,"The company (NAS: ENLV) received $15 million of development capital from undisclosed investors on May 29, 2024 through a private placement. The Company intends to use the net proceeds for working capital and general corporate purposes.","BioBlast Pharma, Korea Investment Partners, Pontifax Venture Capital",
58706-20,Entera Bio (NAS: ENTX),EnteraBio Ltd.,,"Entera Bio Ltd is a clinical-stage biopharmaceutical company engaged in the development of orally delivered macromolecule therapeutics, including peptides and therapeutic proteins. The company focuses on underserved, chronic medical conditions where oral administration of a mini tablet peptide or peptide replacement therapy has the potential to significantly shift a treatment paradigm. Its product candidates are; EB613 for the treatment of osteoporosis and EB612 for the treatment of hypoparathyroidism are first-in-class mini tablet formulations of synthetic human PTH (1-34) (teriparatide), designed to have differing pharmacokinetic, or PK, profiles.",Healthcare,Pharmaceuticals and Biotechnology,Drug Delivery,"Biotechnology, Drug Delivery*, Drug Discovery","HealthTech, Life Sciences, TMT","biomedical, delivery technology, drugs delivery, macromolecules therapeutics technology, oral drug delivery, pharmaceutical",Formerly VC-backed,70.4,Generating Revenue/Not Profitable,Publicly Held,"M&A, Publicly Listed, Venture Capital",20,NAS,ENTX,2009,2025-04-26,DNA Biomedical,Israel,"Jerusalem, Israel",91.43,2018-06-28,IPO,2023-12-22,6.6,Estimated,,,PIPE,,Corporate,2023-12-22,Completed,,,2010-06-02,,,Joint Venture,,,,Other,Completed,,0.18,,-9.54,-8.39,109.01,0.01,71.48,-9.54,-9.59,75,9,38,36,1,1,"Preparations for medical, dental or toiletry purposes",6,,2,"Capital Point, DNA Biomedical","The company (NAS: ENTX) received approximately $6.6 million of development capital from undisclosed investors on December 22, 2023 through a private placement. The company intends to use the net proceeds from the private placement for general working capital purposes.","Arie Belldegrun, Corundum Open Innovation, David Bonderman, Joshua Kazam, Oramed Pharmaceuticals, Pontifax Venture Capital, SDL Ventures, Ybox Real Estate",
58711-78,Epitomee Medical (TAE: EPIT),Epitomee Medical Ltd.,"Gelesis Holdings, Rani Therapeutics, Emisphere Technologies",Epitomee Medical Ltd is engaged in developing and commercializing ingestible therapeutic devices.,Healthcare,Pharmaceuticals and Biotechnology,Drug Discovery,"Biotechnology, Drug Discovery*, Therapeutic Devices","Life Sciences, LOHAS & Wellness","biologics delivery system, diabetes medication, ingestible capsules, obese care, obesity treatment, overweight treatment, weight loss capsules",Formerly VC-backed,230.61,Generating Revenue/Not Profitable,Publicly Held,"Publicly Listed, Venture Capital",41,TAE,EPIT,2005,2025-04-24,,Israel,"Caesarea, Israel",800.0,2021-12-15,IPO,2021-12-15,162.0,Actual,800.0,Actual,IPO,,Public Investment,2021-12-15,Completed,,,,1.0,Actual,Seed Round,,,Seed Round,Venture Capital,Completed,,0.0,,-1.46,-17.73,67.68,,49.69,-2.02,-2.47,56,8,42,14,,,"Devices for introducing media into, or onto, the body, Filters implantable into blood vessels, Preparations for medical, dental or toiletry purposes",5,,,,"The company raised $51 million in its initial public offering on the Tel Aviv Stock Exchange under the ticker symbol of EPIT on December 15, 2021. After the offering, the company was valued at $251 million.","7 Health Ventures, Agate Medical Investments, Barak Capital, Consensus Business Group, Gcb Services, Leumi Partners, Mauro Wjuniski, XT Venture Capital",
101731-42,Erika Carmel (TAE: BCUR),Erika Carmel Ltd,,"Erika B-Cure Laser Ltd is engaged in the development and production of laser devices for the treatment of pain and wounds. Its devices provide treatment for Knee Pain, Lower Back Pain, Neck Pain, Shoulder Pain, Finger Joint pain, and Burns.",Healthcare,Healthcare Devices and Supplies,Other Devices and Supplies,Other Devices and Supplies*,,,Corporation,,Generating Revenue/Not Profitable,Publicly Held,Publicly Listed,40,TAE,BCUR,2009,2023-07-04,,Israel,"Haifa, Israel",,,,2021-08-01,,,,,IPO,,Public Investment,2021-08-01,Completed,,,2021-08-01,,,IPO,,,,Public Investment,Completed,,8.73,-0.1324,-2.62,-1.07,5.4,6.63,6.98,-1.96,-2.51,,,,,,,,6,,,,"The company completed its initial public offering on the Tel Aviv Stock Exchange under the ticker symbol of ERKA on August 1, 2021.",,
56627-29,Ethernity Networks (LON: ENET),Ethernity Networks Ltd.,,"Ethernity Networks Ltd technology solutions provider that develops and delivers data processing technology and solutions used in high-end Carrier Ethernet applications across the telecom, mobile, security, and data center markets. The company's only operating segment is the development and delivery of high-end network processing technology. Geographically, it derives a majority of its revenue from the United States and also has a presence in Asia, Europe, Israel, and the United States. Its product categories include ENET Network Appliances, PON Devices ACE-NIC SmartNICs, ENET Flow Processors, and FPGA Boards.",Information Technology,Software,Business/Productivity Software,"Application Specific Semiconductors, Business/Productivity Software*, Other Hardware","Mobile, TMT","data process technology, data processing, integrated circuit design, network virtualization, networking equipment, telecommunication software",Formerly VC-backed,32.58,Generating Revenue/Not Profitable,Publicly Held,"Private Equity, Publicly Listed, Venture Capital",,LON,ENET,2003,2025-04-26,,Israel,"Airport City, Israel",58.23,2017-06-29,IPO,2024-05-17,1.0,Actual,,,PIPE,,Corporate,2024-05-17,Completed,,,2013-12-01,,,Early Stage VC,,,,Venture Capital,Completed,,3.78,0.2861,-6.36,-0.79,0.12,2.34,4.3,-4.67,-6.08,11,7,10,1,,,"Electric digital data processing, Transmission of digital information, Wireless communication networks",,,3,"Bergen Asset Management, New Technology Capital Group, Pix Vine Capital","The company (LON: ENET) received GBP 800,000 of development capital from New Technology Capital Group on May 17, 2024, through a private placement.","Alice Ventures, Cipio Partners",
58754-26,Evogene (Drug Discovery) (TAE: EVGN),Evogene Ltd,"Novonesis, Cibus, Caribou Biosciences, Chr. Hansen, Precision BioSciences, Novartis, AgBiome, Genuity Science, Bayer, BioConsortia","Evogene Ltd is a computational biology company targeting to revolutionize product development for life-science based industries, including human health, agriculture, and industrial applications. The company established its technology, the Computational Predictive Biology (CPB) platform. The CPB platform is designed to computationally discover and develop life-science products based on microbes, small molecules, and genetic elements as the core components for such products. It holds several subsidiaries utilizing the CPB platform for the development of human microbiome-based therapeutics, medical cannabis, ag-biologicals, ag-chemicals, seed traits, and ag-solutions for castor oil production. It generates maximum revenue from the Agriculture segment, followed by Industry.",Healthcare,Pharmaceuticals and Biotechnology,Discovery Tools (Healthcare),Discovery Tools (Healthcare)*,"AgTech, Life Sciences, TMT","ag biotech, agriculture technology, alt-proteins, biology, biology company, computational biology, computational biology services, life science products, plant biotech, plant biotechnology, plant genomics, plant-based protein",Formerly VC-backed,129.94,Generating Revenue/Not Profitable,Publicly Held,"Private Equity, Publicly Listed, Venture Capital",143,TAE,EVGN,1999,2025-04-26,,Israel,"Rehovot, Israel",355.03,2013-11-25,Public Investment 2nd Offering,2024-08-26,0.86,Actual,,,Public Investment 2nd Offering,,Public Investment,2024-08-26,Completed,,,2002-01-01,0.9,Actual,Early Stage VC,,,,Venture Capital,Completed,,8.51,0.509,-16.48,-2.44,7.35,5.83,20.6,-16.43,-18.94,728,65,411,44,273,273,"Image data processing or generation, in general, Investigating or analysing materials by determining their chemical or physical properties, Microorganisms or enzymes, Peptides",,,,,"01/21/25 Shreya Pednekar: Industry Group Changed by the Industry Group Team. Please do not Change/Remove these codes until 8 months after this date.Added/Verified Discovery Tools (Healthcare) as PIG /// The company raised $861,250 in its second public offering on the Tel Aviv Stock Exchange under the ticker symbol of EVGN on August 26, 2024. A total of 265,000 shares were sold at $3.25 per share.","AAF Group, Alpha Capital Anstalt, Altium Capital Management, ARK Investment Management, Compugen, CVI Investments, GlenRock Israel, Hunza Ventures, Monsanto, SilverArc Capital Management",
11905-75,Evoke (LON: EVOK),Evoke plc,PartyPoker,"Evoke PLC is an online betting and gaming company. The Group owns and operates internationally brands including William Hill, William Hill Vegas, 888casino, 888sport, 888poker, and Mr Green.",Information Technology,Software,Entertainment Software,Entertainment Software*,Gaming,"entertainment service, mobile gaming, online casino, online gaming, online gaming content, online gaming space",Corporation,1462.24,Generating Revenue/Not Profitable,Publicly Held,"Debt Financed, Private Equity, Publicly Listed",10622,LON,EVOK,1997,2025-04-26,,Gibraltar,"Gibraltar, Gibraltar",1119.64,2022-04-07,PIPE,2024-05-02,562.87,,,,Debt Refinancing,Bank Debt,Debt,2024-05-02,Completed,562.87,"Bonds - 500.33M $ (Senior, Secured; Equity Clawback; Fixed); Revolving Credit - 62.54M $ (Syndicated; Floating)",2005-09-29,267.22,Actual,IPO,1067.3,Estimated,,Public Investment,Completed,,2241.77,0.0255,-245.32,1966.62,285.43,1470.15,2280.74,290.43,-4.47,,,,,,,,,,,,"The company completed a debt refinancing round on April 30, 2024.",,
165022-66,Fibrolan,Fibrolan Ltd,,Provider of fiber-optic broadband systems. The company provides fiber optic internet broadband services to its customers in Israel and internationally.,Information Technology,Communications and Networking,Connectivity Products,"Connectivity Products*, Fiberoptic Equipment",TMT,"fiber optic broadband, fiber optic internet",Corporation,,,Privately Held (no backing),Publicly Listed,,,,1996,2022-09-13,,Israel,"Yokneam, Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277145-29,Fire & Gas Detection Technologies (TAE: FGAS),"Fire & Gas Detection Technologies, Inc.",,Fire & Gas Detection Technologies Ltd is engaged in the business of providing flame detection systems to the Oil & Gas industry.,Information Technology,Computer Hardware,Electronic Equipment and Instruments,Electronic Equipment and Instruments*,Manufacturing,"flame and gas detector, flame detection product, flame detection system, gas detector product",Corporation,,Generating Revenue/Not Profitable,Publicly Held,Publicly Listed,57,TAE,FGAS,2017,2024-11-06,,United States,"Brea, CA",,,,2020-09-08,,,,,IPO,,Public Investment,2020-09-08,Completed,,,2020-09-08,,,IPO,,,,Public Investment,Completed,,10.32,0.1512,-4.51,4.99,64.32,3.93,71.54,-3.53,-4.09,,,,,,,,,,,,"The company raised its initial public offering on the Tel Aviv Stock Exchange under the ticker symbol of FGAS on September 8, 2020. A total of 26,970,400 shares were sold.",,
53301-52,Fiverr International (NYS: FVRR),Fiverr International Ltd.,"Crowdspring, ShoCase, DesignCrowd, oDesk, Done (Social/Platform Software), Freelancer, Get (Business/Productivity Software), Yext, Cloudwords, Workana, Contently, Field Agent, Canva, Gigwalk, 99designs, Upwork Global, Guru (Philadelphia), GoodBox, Reedsy","Fiverr International Ltd is involved in buying and selling digital services in the same fashion as physical goods on an e-commerce platform. It is set out to design a digital marketplace that is built with a comprehensive SKU-like services catalog and a search, finds, and order process that mirrors a typical e-commerce transaction. The service offerings of the company include Graphics and Design, Digital Marketing, Wiring and Translation, and Video and Animation among others.",Information Technology,Software,Social/Platform Software,"Media and Information Services (B2B), Social/Platform Software*",HR Tech,"customer base, freelancers search, online marketplace service, payment collection, web portal",Formerly VC-backed,340.53,Profitable,Publicly Held,"Publicly Listed, Venture Capital",762,NYS,FVRR,2010,2025-04-26,,Israel,"Tel Aviv, Israel",650.9,2019-06-13,IPO,2020-05-29,120.0,Actual,,,Public Investment 2nd Offering,,Public Investment,2020-05-29,Completed,,,2011-01-01,5.0,Actual,Early Stage VC,,,Series A,Venture Capital,Completed,,391.48,0.0833,18.25,-104.05,966.68,320.92,1083.02,-6.34,-16.82,149,33,67,,82,82,"Electric digital data processing, Electrophonic musical instruments, Information and communication technology [ict] specially adapted for administrative, commercial, financial, managerial or supervisory purposes, Pictorial communication, Transmission of digital information",,,,,"The company raised $120 million in its second public offering on the New York stock exchange under the ticker symbol of FVRR on May 29, 2020. A total of 2,000,000 shares were sold at $60 per share. The underwriters were granted an option to purchase up to an additional 300,000 shares from the company to cover over-allotments, if any.","Accel, Bessemer Venture Partners, Cerca Partners, Columbus Nova Technology Partners, GHC Capital, Guy Gamzu, ION Asset Management, Kadima Group, Lightbank (Service Provider), Qumra Capital, Square Peg Capital, TriplePoint Capital, Union Tech Ventures",
